---,V
0,_____________________
1,_ccccBB_ccc_B_BBB____
2,_c___BB_c_c_BBBBBcc__
3,_c___BBcc_ccBBBBB_c__
4,_BB__c____c_BBB_B_c__
5,_BB__cccccc_BBB_B_c__
6,__c_____c____c____c__
7,_ccccc__cccccc__ccc__
8,_c___cccc_c__ccc_c___
9,_cBBBB____BB___BBc___
10,_____BcccBB___BB_c___
11,_____B____c___c__c___
12,__BBBBBcccc___ccccc__
13,__B___B_c_ccccc___c__
14,_BBBBBB_c_c_c_c___c__
15,__B_B_Bcc_c_ccc___c__
16,__BBB_B_ccccc_ccccc__
17,__B_____B___B________
18,__BBBBBBBBBBB________
19,_____________________
20,_____________________
